timestamp,fundingRate
2026-01-11T08:00:00+00:00,0.0001
2026-01-11T16:00:00+00:00,0.0001
2026-01-12T00:00:00+00:00,-0.00034178
2026-01-12T08:00:00+00:00,0.0001
2026-01-12T16:00:00+00:00,-0.005
2026-01-13T00:00:00+00:00,0.0001
2026-01-13T08:00:00+00:00,0.0001
2026-01-13T16:00:00+00:00,0.0001
2026-01-14T00:00:00+00:00,0.0001
2026-01-14T08:00:00+00:00,0.0001
2026-01-14T16:00:00+00:00,0.0001
2026-01-15T00:00:00+00:00,0.0001
2026-01-15T08:00:00+00:00,0.0001
2026-01-15T16:00:00+00:00,0.005
2026-01-16T00:00:00+00:00,-0.005
2026-01-16T08:00:00+00:00,-0.005
2026-01-16T16:00:00+00:00,-0.005
2026-01-17T00:00:00+00:00,-0.005
2026-01-17T08:00:00+00:00,-0.005
2026-01-17T16:00:00+00:00,-0.005
2026-01-18T00:00:00+00:00,-0.005
2026-01-18T08:00:00+00:00,-0.005
2026-01-18T16:00:00+00:00,-0.005
2026-01-19T00:00:00+00:00,0.005
2026-01-19T08:00:00+00:00,0.005
2026-01-19T16:00:00+00:00,0.005
2026-01-20T00:00:00+00:00,0.005
2026-01-20T08:00:00+00:00,0.005
2026-01-20T16:00:00+00:00,-0.005
2026-01-21T00:00:00+00:00,0.0001
2026-01-21T08:00:00+00:00,0.00183663
2026-01-21T16:00:00+00:00,0.005
2026-01-22T00:00:00+00:00,0.0001
2026-01-22T08:00:00+00:00,-0.00352084
2026-01-22T16:00:00+00:00,0.0032612
2026-01-23T00:00:00+00:00,-0.00248081
2026-01-23T08:00:00+00:00,0.0015233
2026-01-23T16:00:00+00:00,0.00131918
2026-01-24T00:00:00+00:00,0.0001
2026-01-24T08:00:00+00:00,-0.00074556
2026-01-24T16:00:00+00:00,-0.00038328
2026-01-25T00:00:00+00:00,0.0001
2026-01-25T08:00:00+00:00,-0.005
2026-01-25T16:00:00+00:00,-0.005
2026-01-26T00:00:00+00:00,-0.005
